episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
300,1.0,3.199884719510764,0.6831941637501607,0.20002788043312447,7.2,2.0,12,0.0,False,True,0.7914108896475859,1,17.709159380834848,1447.578,prepare,0.0,0
300,2.0,3.199732793847726,0.6831032114197835,0.18326595495146542,0.6,3.9,10,4.868154622149554,False,True,0.7905513581379275,1,17.709159380834848,1447.644,in_progress,0.0,0
300,3.0,3.2063985888826436,0.6826659292229548,0.20669054131018152,-4.6,2.1,18,0.001,False,True,0.8281836483374253,1,17.709159380834848,1447.716,in_progress,0.0,0
300,4.0,3.2250990353730815,0.6827963793249572,0.11222468756593301,-11.4,3.5,9,2.4308393736413687,False,True,0.9337865900383362,1,17.709159380834848,1447.776,in_progress,0.0,0
300,5.0,3.254208502992025,0.6826184945870202,-0.003344545512776382,23.0,1.4,0,0.001,False,True,1.0981600674015235,1,17.709159380834848,1447.846,in_progress,0.0,0
300,6.0,3.2987893018300527,0.6915472312385789,1.7337559955476165,12.5,3.5,17,2.4621702374184093,False,True,1.349975630963339,2,17.709159380834848,1447.91,in_progress,0.0,0
300,7.0,3.3479131473031076,0.7110993813585009,5.958596406453292,7.3,1.5,3,0.001,False,True,1.6275366817403845,2,17.709159380834848,1447.985,in_progress,0.0,0
300,8.0,3.4157757205675408,0.7428093455270287,11.324015291796282,-11.4,3.5,9,2.3497023451803947,False,True,2.0105879332383543,2,17.709159380834848,1448.047,in_progress,0.0,0
300,9.0,3.4922644277386756,0.7759986020533608,15.123528815417563,-11.4,3.5,9,2.256112944487464,False,True,2.442551514663405,3,17.709159380834848,1448.12,in_progress,0.0,0
300,10.0,3.589673180343497,0.7992699546713228,14.447405069024969,-30.0,1.3,20,0.001,False,True,2.992725053564173,4,17.709159380834848,1448.191,in_progress,0.0,0
300,11.0,3.6890583168994993,0.8090459585599139,11.017572402630737,-30.0,1.3,20,0.001,False,True,3.5539388602169644,4,17.709159380834848,1448.251,in_progress,0.0,0
300,12.0,3.776161323070799,0.8135324521141316,8.367456296711103,-30.0,1.3,20,0.001,False,True,4.045801149787585,5,17.709159380834848,1448.32,in_progress,0.0,0
300,13.0,3.869845871166907,0.8096952211960068,4.6486346087478445,-11.4,3.5,9,2.9577987690760525,False,True,4.5747920624064,5,17.709159380834848,1448.387,in_progress,0.0,0
300,14.0,3.973873594897579,0.797376941038322,0.2775248295213456,0.5,3.5,2,2.815249315849799,False,True,5.162190847403943,6,17.709159380834848,1448.446,in_progress,0.0,0
300,15.0,4.078183197754236,0.7873148940611094,-2.228363344083987,23.0,1.4,0,0.001,False,True,5.751186057302942,7,17.709159380834848,1448.511,in_progress,0.0,0
300,16.0,4.188470609698843,0.7845542217324449,-2.447640358276515,0.6,3.9,10,1.7351636431232744,False,True,6.3739546288895905,8,17.709159380834848,1448.576,in_progress,0.0,0
300,17.0,4.310923203201287,0.7856011809060748,-1.376793116798982,-10.8,2.5,7,3.3221925071423195,False,True,7.065424797660308,8,17.709159380834848,1448.654,in_progress,0.0,0
300,18.0,4.457575797711854,0.7693409427566991,-3.9852802161503122,7.2,2.0,12,0.001,False,True,7.893507001465738,9,17.709159380834848,1448.718,in_progress,0.0,0
300,19.0,4.591660236049521,0.7520240178039379,-5.545530334268811,-4.6,2.1,18,3.126028788567181,False,True,8.650624172240995,10,17.709159380834848,1448.775,in_progress,0.0,0
300,20.0,4.716590929038141,0.7416102042572299,-5.202310416211947,-0.9,3.0,4,2.0075073526831524,False,True,9.356066157940358,11,17.709159380834848,1448.848,in_progress,0.0,0
300,21.0,4.877668229904819,0.7356101774122762,-3.610443446364286,30.0,1.3,19,0.001,False,True,10.26562484231225,12,17.709159380834848,1448.907,in_progress,0.0,0
300,22.0,5.011661699201339,0.7399105463025938,-0.7987488420049956,16.3,1.6,8,0.001,False,True,11.022256396280556,13,17.709159380834848,1448.977,in_progress,0.0,0
300,23.0,5.152705327759254,0.7514900101796901,2.05278875343392,-11.4,3.5,9,1.8493050246409382,False,True,11.818723899649495,14,17.709159380834848,1449.047,in_progress,0.0,0
300,24.0,5.288884223494634,0.7665716043174774,3.9861230211447034,-10.8,2.5,7,2.113191732118264,False,True,12.587704759556647,15,17.709159380834848,1449.112,in_progress,0.0,0
300,25.0,5.44674541096104,0.772728537043568,3.0941669242566676,-10.8,2.5,7,2.0791421452253873,False,True,13.479198500033526,16,17.709159380834848,1449.181,in_progress,0.0,0
300,26.0,5.5972606425725075,0.7721374721215364,1.3266782266672041,17.0,2.2,14,2.697413044894873,False,True,14.329629918016426,17,17.709159380834848,1449.259,in_progress,0.0,0
300,27.0,5.7968062294135985,0.77254819082885,0.6982273661694177,0.6,3.9,10,2.1241733667675016,False,True,15.453391228422719,18,17.709159380834848,1449.279,in_progress,0.0,0
300,28.0,5.837816251313323,0.7743678771552899,0.9676787710100868,7.2,2.0,12,2.6292005096558966,False,True,15.684916477868796,19,17.709159380834848,1449.376,in_progress,0.0,0
300,29.0,6.066163953864217,0.8023925649053167,5.315953575493256,7.2,2.0,12,2.7269454004525095,False,True,16.99405795070342,20,17.709159380834848,1449.451,in_progress,0.0,0
300,30.0,6.2274233060176085,0.838163941593348,9.34544981932409,0.6,3.9,10,2.2778306681378147,False,True,17.958021888556512,21,17.709159380834848,1449.52,in_progress,0.0,0
300,31.0,6.365850896578948,0.8769507436832307,12.636669720519562,16.3,1.6,8,4.20381376601669,False,True,18.808009599056394,22,17.709159380834848,1449.58,in_progress,0.0,0
300,32.0,6.506587157027629,0.9303723754943444,17.589653159995592,0.6,3.9,10,2.3814034787051934,False,True,19.868562461827416,23,17.709159380834848,1449.668,in_progress,0.0,0
300,33.0,6.673703929146323,1.0058523104020973,22.24581623277359,11.3,1.3,16,4.38272034245469,False,True,21.199877749073192,25,17.709159380834848,1449.699,in_progress,0.0,0
300,34.0,6.733728313341259,1.0378675368494759,23.847083599889036,2.3,1.7,6,3.206170533445134,False,True,21.58160106432083,26,17.709159380834848,1449.786,in_progress,0.0,0
300,35.0,6.891253105939379,1.1259272677579735,27.02275311051844,16.3,1.6,8,3.5746982917718415,False,True,22.71129672579387,27,17.709159380834848,1449.845,in_progress,0.0,0
300,36.0,6.995716756741465,1.1939815804064804,29.823057882336634,17.0,2.2,14,2.1875254137063647,False,True,23.54846605036427,28,17.709159380834848,1449.918,in_progress,0.0,0
300,37.0,7.107885672414688,1.2824179382510446,34.11672612409002,11.3,1.3,16,0.001,False,True,24.378097449677185,29,17.709159380834848,1449.977,in_progress,0.0,0
300,38.0,7.192084650627422,1.3658122117897828,38.884090590090004,7.3,1.5,3,0.001,False,True,25.034181229380575,30,17.709159380834848,1450.055,in_progress,0.0,0
300,39.0,7.276725703183624,1.465391361905733,43.985926516949476,23.0,1.4,0,0.001,False,True,25.718010883897296,30,17.709159380834848,1450.116,in_progress,0.0,0
300,40.0,7.334540343753715,1.5478326278020373,48.13476678441,30.0,1.3,19,3.7088216683765043,False,True,26.25473034868946,31,17.709159380834848,1450.187,in_progress,0.0,0
300,41.0,7.390163919840531,1.642081224406141,52.69483912264438,11.3,1.3,16,0.001,False,True,26.736561243615974,32,17.709159380834848,1450.244,in_progress,0.0,0
300,42.0,7.43279661834482,1.728564339941341,56.76847097306382,12.5,3.5,17,1.7127666492932896,False,True,27.10348401025885,32,17.709159380834848,1450.319,in_progress,0.0,0
300,43.0,7.475743356210154,1.8281851412062102,60.671827837557515,16.3,1.6,8,0.001,False,True,27.60630218001379,33,17.709159380834848,1450.388,in_progress,0.0,0
300,44.0,7.512600647208596,1.9459899009238069,65.80592357880586,-4.6,2.1,18,0.001,False,True,28.107448926773365,33,17.709159380834848,1450.457,in_progress,0.0,0
300,45.0,7.553385427374743,2.057236061457339,67.37456038190543,7.2,2.0,12,0.001,False,True,28.67280962134704,34,17.709159380834848,1450.514,in_progress,0.0,0
300,46.0,7.596724194893144,2.1573760601012575,67.06983038189672,11.3,1.3,16,0.001,False,False,28.91071769544235,34,17.709159380834848,1450.57,in_progress,0.0,0
300,47.0,7.6307803803003775,2.2589223634439026,68.83998789758176,7.2,2.0,12,0.001,False,False,29.389865422581472,35,17.709159380834848,1450.649,in_progress,0.0,0
300,48.0,7.662827603538167,2.37254882539936,71.08242768232853,11.3,1.3,16,0.001,False,False,29.657348187021963,35,17.709159380834848,1450.703,in_progress,0.0,0
300,49.0,7.685436437797109,2.4761929891059022,73.64968282180908,7.2,2.0,12,0.001,True,False,29.935220198306524,35,17.709159380834848,1450.784,off_track,0.0,0
301,1.0,4.085374593507333,0.6834867985915926,-0.032507566607839884,7.2,2.0,12,0.0,False,True,0.7915906847952638,7,17.709159380834848,1450.901,prepare,0.0,0
301,2.0,4.085190493550333,0.6836132374880974,0.019930504742808816,12.5,3.5,17,4.112094835289574,False,True,0.7905513581378698,7,17.709159380834848,1450.978,in_progress,0.0,0
301,3.0,4.09369446462753,0.6821807521404435,-0.42606643502384267,0.6,3.9,10,2.9965749605064973,False,True,0.8385687295947033,7,17.709159380834848,1451.044,in_progress,0.0,0
301,4.0,4.115756010408053,0.6808952158176107,-0.911091163730154,-11.4,3.5,9,4.105842203317715,False,True,0.9631431387889889,7,17.709159380834848,1451.104,in_progress,0.0,0
301,5.0,4.150113785323224,0.6770429663519894,-1.7465581381965218,-11.4,3.5,9,4.094989151093026,False,True,1.1571467579866046,7,17.709159380834848,1451.182,in_progress,0.0,0
301,6.0,4.210595271144757,0.6665501227142447,-3.850972084282756,30.0,1.3,19,0.001,False,True,1.498652354919526,8,17.709159380834848,1451.249,in_progress,0.0,0
301,7.0,4.268502753515995,0.6619997582345313,-4.7279108656587345,-0.9,3.0,4,4.216201112967489,False,True,1.825634233051987,8,17.709159380834848,1451.316,in_progress,0.0,0
301,8.0,4.338663648719655,0.6630207147796663,-3.3437271753115634,0.5,3.5,2,2.6203624897727993,False,True,2.221820501911324,9,17.709159380834848,1451.378,in_progress,0.0,0
301,9.0,4.416070664827586,0.6647982974964546,-1.983539432180821,-0.9,3.0,4,3.8681681055210633,False,True,2.6589260922950206,9,17.709159380834848,1451.445,in_progress,0.0,0
301,10.0,4.517851185763708,0.6662814725809203,-0.9702217489213171,-0.9,3.0,4,3.7099329126085743,False,True,3.2336628132732166,10,17.709159380834848,1451.512,in_progress,0.0,0
301,11.0,4.629397929888411,0.6681432879982672,-0.15709221917822425,-4.6,2.1,18,3.9053939344000437,False,True,3.8635470992151437,10,17.709159380834848,1451.573,in_progress,0.0,0
301,12.0,4.747271976832701,0.66684687687775,-0.43071021549836236,30.0,1.3,19,0.001,False,True,4.5291533480951855,11,17.709159380834848,1451.647,in_progress,0.0,0
301,13.0,4.874481244455377,0.6655475045845312,-0.4833367272605505,-2.0,1.4,15,0.001,False,True,5.247474748483569,12,17.709159380834848,1451.709,in_progress,0.0,0
301,14.0,4.978900910382058,0.6700335530053313,0.7209910652639958,-4.6,2.1,18,4.2375567982339115,False,True,5.837121044981676,13,17.709159380834848,1451.777,in_progress,0.0,0
301,15.0,5.0875457381536515,0.6701595911997875,0.3507243258984018,2.3,1.7,6,2.8387916022353914,False,True,6.450619241207173,14,17.709159380834848,1451.841,in_progress,0.0,0
301,16.0,5.202397342032786,0.6716427302320279,0.46082221279983554,-2.0,1.4,15,0.001,False,True,7.099169180817691,14,17.709159380834848,1451.911,in_progress,0.0,0
301,17.0,5.315322512824527,0.6706761160067871,0.08863548123025526,-0.9,3.0,4,2.4646700246117343,False,True,7.736821752997971,15,17.709159380834848,1451.98,in_progress,0.0,0
301,18.0,5.436155924215411,0.6705422967313205,-0.032354197339645736,30.0,1.3,19,0.001,False,True,8.41914289864752,16,17.709159380834848,1452.046,in_progress,0.0,0
301,19.0,5.555045222828782,0.6730799681306673,0.10409741040430888,2.3,1.7,6,3.8665442989238703,False,True,9.090428931679089,17,17.709159380834848,1452.111,in_progress,0.0,0
301,20.0,5.667626901677695,0.6810773187696468,1.7243779912550554,12.2,2.7,5,2.4324266067222453,False,True,9.72625339557751,17,17.709159380834848,1452.178,in_progress,0.0,0
301,21.0,5.785488324607372,0.6948458516796822,3.8586933330393527,12.2,2.7,5,2.341624884714852,False,True,10.39150953514719,18,17.709159380834848,1452.231,in_progress,0.0,0
301,22.0,5.911943049190956,0.7249149481891989,8.278519977065345,-2.0,1.4,15,4.466933277181396,False,True,11.103906460856603,19,17.709159380834848,1452.315,in_progress,0.0,0
301,23.0,6.05341099960151,0.7638047058237928,11.900349011947796,-10.0,1.7,11,4.031644557530815,False,True,11.900881804903038,20,17.709159380834848,1452.396,in_progress,0.0,0
301,24.0,6.195593540245096,0.7998359360844697,13.015432976657005,0.5,3.5,2,2.565063094957203,False,True,12.724312204102361,21,17.709159380834848,1452.437,in_progress,0.0,0
301,25.0,6.2761990383018835,0.8180383262494181,12.926996145584155,30.0,1.3,19,4.417792878342141,False,True,13.223129388285958,22,17.709159380834848,1452.519,in_progress,0.0,0
301,26.0,6.413326834364385,0.8659339472872989,16.529165864900367,2.3,1.7,6,4.138232735240075,False,True,14.065202171203872,23,17.709159380834848,1452.586,in_progress,0.0,0
301,27.0,6.521182922550368,0.9124501641047746,19.445481894979775,11.3,1.3,16,4.504271612488043,False,True,14.91286498801312,24,17.709159380834848,1452.653,in_progress,0.0,0
301,28.0,6.617409501496094,0.9680325541240682,23.90263159644691,7.2,2.0,12,2.679795371506634,False,True,15.71503985052029,24,17.709159380834848,1452.717,in_progress,0.0,0
301,29.0,6.70318416054735,1.0285489165260207,28.282135119054512,11.3,1.3,16,4.612988167641368,False,True,16.40966338189564,25,17.709159380834848,1452.779,in_progress,0.0,0
301,30.0,6.775857933034629,1.0950567587011284,33.82387256603759,16.3,1.6,8,4.01792052413829,False,True,17.109011526300684,26,17.709159380834848,1452.851,in_progress,0.0,0
