episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
40,1.0,3.199992841487929,0.683107282549347,0.18269935927764447,0.6,3.9,10,0.0,False,True,0.7920198599810099,1,17.709159380834848,210.657,prepare,0.0,0
40,2.0,3.1998754577789557,0.6830721299559537,0.17419322989843528,0.6,3.9,10,4.8680893547058375,False,True,0.7913563866638166,1,17.709159380834848,210.736,in_progress,0.0,0
40,3.0,3.2079212943510753,0.6820681546672142,-0.22000680782260526,2.3,1.7,6,0.001,False,True,0.8367712137401263,1,17.709159380834848,210.803,in_progress,0.0,0
40,4.0,3.231205097540554,0.6843092828626426,0.2211950466565022,-30.0,1.3,20,0.001,False,True,0.9682793157870369,1,17.709159380834848,210.866,in_progress,0.0,0
40,5.0,3.2636951019390605,0.677637404657583,-1.4329862976917893,-11.4,3.5,9,2.42170274375049,False,True,1.1516858157383507,1,17.709159380834848,210.937,in_progress,0.0,0
40,6.0,3.311238090432202,0.661816187894823,-4.923409344845197,-30.0,1.3,20,0.001,False,True,1.4200142217788168,2,17.709159380834848,210.997,in_progress,0.0,0
40,7.0,3.36539886794435,0.6341574278805543,-10.108987418073681,16.3,1.6,8,0.001,False,True,1.725964613928113,2,17.709159380834848,211.058,in_progress,0.0,0
40,8.0,3.4198105431004486,0.6057088282407883,-14.40082767899533,-2.0,1.4,15,0.001,False,True,2.0331754743392696,2,17.709159380834848,211.132,in_progress,0.0,0
40,9.0,3.4913530795487855,0.5842825910081728,-15.081461128374391,23.0,1.4,0,0.001,False,True,2.437130853985583,3,17.709159380834848,211.208,in_progress,0.0,0
40,10.0,3.5809991836407025,0.5686847883640181,-13.23034708488052,7.2,2.0,12,0.001,False,True,2.943229657794762,3,17.709159380834848,211.258,in_progress,0.0,0
40,11.0,3.6486843915954017,0.5679590506350279,-9.851429041110832,17.0,2.2,14,0.001,False,True,3.3254325285868283,4,17.709159380834848,211.327,in_progress,0.0,0
40,12.0,3.759322154321141,0.5758451108972308,-4.173650491782174,23.0,1.4,0,0.001,False,True,3.9502122150854793,5,17.709159380834848,211.403,in_progress,0.0,0
40,13.0,3.86402968849771,0.5955276051308623,1.5790759763858457,7.2,2.0,12,0.001,False,True,4.541528591105198,5,17.709159380834848,211.469,in_progress,0.0,0
40,14.0,3.9786759038635267,0.6196400123471504,5.921391929274434,-11.4,3.5,9,2.9429320578435316,False,True,5.188959782334392,6,17.709159380834848,211.534,in_progress,0.0,0
40,15.0,4.085406163748573,0.6362923735592915,7.04046014569735,30.0,1.3,19,0.001,False,True,5.79167636006159,7,17.709159380834848,211.607,in_progress,0.0,0
40,16.0,4.215399046754586,0.6540232613330348,6.87995893181847,2.3,1.7,6,0.001,False,True,6.525753269991587,8,17.709159380834848,211.673,in_progress,0.0,0
40,17.0,4.323082975726907,0.6739143153299283,8.272781884972163,0.3,2.6,13,3.8376584868793335,False,True,7.133861754816421,8,17.709159380834848,211.736,in_progress,0.0,0
40,18.0,4.432014317227606,0.6935841670347815,9.021013790188158,-10.8,2.5,7,3.5638096645145056,False,True,7.7490144341832226,9,17.709159380834848,211.805,in_progress,0.0,0
40,19.0,4.569657641185457,0.7103721337501214,7.858918116461802,-4.6,2.1,18,3.235328278047434,False,True,8.526293579984202,10,17.709159380834848,211.868,in_progress,0.0,0
40,20.0,4.710499122678733,0.7148745932661831,4.834952551281007,12.2,2.7,5,3.2786690188627396,False,True,9.32160890254768,11,17.709159380834848,211.938,in_progress,0.0,0
40,21.0,4.8569198939386675,0.7234338842022354,4.182736886306165,0.5,3.5,2,1.906732779362584,False,True,10.148436506622886,12,17.709159380834848,212.005,in_progress,0.0,0
40,22.0,5.0109084480181,0.7484471043821499,7.068409381038504,-10.8,2.5,7,2.9762886334299252,False,True,11.018019924968641,13,17.709159380834848,212.07,in_progress,0.0,0
40,23.0,5.182823227329845,0.7757123891671321,8.192628366106534,-10.8,2.5,7,2.9328149224719167,False,True,11.988815627096614,14,17.709159380834848,212.137,in_progress,0.0,0
40,24.0,5.3519932061796975,0.7924457531111744,6.732081925393833,0.6,3.9,10,1.8564074492681957,False,True,12.944202202225135,15,17.709159380834848,212.206,in_progress,0.0,0
40,25.0,5.538719707117012,0.8099005487137663,5.9522605048127195,-4.6,2.1,18,3.5578293064059006,False,True,13.999373962855907,17,17.709159380834848,212.274,in_progress,0.0,0
40,26.0,5.722313990212658,0.8340455019312523,6.922294570597606,-11.4,3.5,9,1.9759182986395092,False,True,15.034780196851136,18,17.709159380834848,212.341,in_progress,0.0,0
40,27.0,5.885843380589769,0.8523797418698738,6.483933917959946,-30.0,1.3,20,3.9100368014751252,False,True,15.954077361882902,19,17.709159380834848,212.409,in_progress,0.0,0
40,28.0,6.0706967129596885,0.8630379216002484,4.713216569894796,-10.0,1.7,11,3.9452693377014505,False,True,17.028401914585533,20,17.709159380834848,212.484,in_progress,0.0,0
40,29.0,6.250040449814054,0.8632259268501163,1.9474750733649098,23.0,1.4,0,4.482734909680592,False,True,18.096980553936096,21,17.709159380834848,212.531,in_progress,0.0,0
40,30.0,6.359934713341036,0.8614362273521937,0.4906057638808868,23.0,1.4,0,4.321819024508753,False,True,18.763045770007302,22,17.709159380834848,212.607,in_progress,0.0,0
40,31.0,6.509010973688511,0.8674255521013214,1.463096559236002,16.3,1.6,8,4.018805316798569,False,True,19.76390024565085,23,17.709159380834848,212.682,in_progress,0.0,0
