episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
100,1.0,3.1998920618593716,0.6831420675370949,0.20504421464467745,-11.4,3.5,9,0.0,False,True,0.7914514092262132,1,17.709159380834848,420.519,prepare,0.0,0
100,2.0,3.199732793847647,0.6831032114197833,0.18326595495146542,-10.1,1.7,11,0.001,False,True,0.7905513581379281,1,17.709159380834848,420.59,in_progress,0.0,0
100,3.0,3.2074330356132394,0.6857774144735997,0.8168810165060181,-10.1,1.7,11,0.001,False,True,0.8340811264649038,1,17.709159380834848,420.653,in_progress,0.0,0
100,4.0,3.230609642543907,0.6828152183727704,0.007932564200188107,0.3,2.7,13,0.001,False,True,0.9649039877656187,1,17.709159380834848,420.72,in_progress,0.0,0
100,5.0,3.2687982289083592,0.680939986511258,-0.4832240851983281,0.5,3.5,2,3.824291045783366,False,True,1.1805306538872764,1,17.709159380834848,420.794,in_progress,0.0,0
100,6.0,3.323128218237363,0.6812097290430658,-0.3365239276440605,-10.1,1.7,11,0.001,False,True,1.4873229613374293,2,17.709159380834848,420.854,in_progress,0.0,0
100,7.0,3.382376539914892,0.6748104665059107,-1.7710435596979766,-0.9,3.0,4,0.001,False,True,1.8218922507078725,2,17.709159380834848,420.926,in_progress,0.0,0
100,8.0,3.4645531902205087,0.6689799643411702,-2.4406906516827607,-10.1,1.7,11,0.001,False,True,2.2859186209317874,3,17.709159380834848,420.989,in_progress,0.0,0
100,9.0,3.5519696677449177,0.6595628640401553,-3.8474211584665015,2.3,1.7,6,0.001,False,True,2.7795089500602033,3,17.709159380834848,421.055,in_progress,0.0,0
100,10.0,3.6524118575530786,0.6483584401333919,-4.751948040940611,-30.0,1.3,20,0.001,False,True,3.3466603725074116,4,17.709159380834848,421.127,in_progress,0.0,0
100,11.0,3.762797661177892,0.6346104195978064,-5.7501951525308845,-10.8,2.5,7,0.001,False,True,3.9699617045193354,5,17.709159380834848,421.19,in_progress,0.0,0
100,12.0,3.8591994218938783,0.6128222084344914,-8.40999528430237,23.0,1.4,0,0.001,False,True,4.514287036440886,5,17.709159380834848,421.252,in_progress,0.0,0
100,13.0,3.9652977929509583,0.5821608082869619,-12.19111356218228,16.3,1.7,8,0.001,False,True,5.1133427973654495,6,17.709159380834848,421.316,in_progress,0.0,0
100,14.0,4.0661379187494635,0.5663552148112806,-10.93035486115417,3.9,2.4,1,0.001,False,True,5.682735312468904,7,17.709159380834848,421.385,in_progress,0.0,0
100,15.0,4.189310667938395,0.559804813456439,-7.400820279715494,7.3,1.5,3,0.001,False,True,6.37824934812404,8,17.709159380834848,421.458,in_progress,0.0,0
100,16.0,4.320554993882786,0.5674237616648818,-2.2677414455726685,-30.0,1.3,20,0.001,False,True,7.119370524687694,8,17.709159380834848,421.516,in_progress,0.0,0
100,17.0,4.42764491042684,0.5796323814449731,1.6594185661088998,-10.8,2.5,7,4.519829976578584,False,True,7.724112465245351,9,17.709159380834848,421.586,in_progress,0.0,0
100,18.0,4.546199267605567,0.5850068843032971,2.14891400376542,0.5,3.5,2,2.7407568372063125,False,True,8.393575415919962,10,17.709159380834848,421.646,in_progress,0.0,0
100,19.0,4.673108089511819,0.5894607335557586,2.1020373804743477,16.3,1.7,8,0.001,False,True,9.110206105179683,11,17.709159380834848,421.721,in_progress,0.0,0
100,20.0,4.813042574697324,0.608976575118793,5.523382998533006,0.5,3.5,2,2.794428838260953,False,True,9.900420728210547,12,17.709159380834848,421.783,in_progress,0.0,0
100,21.0,4.947269422414982,0.6343375290068825,7.953236692285675,0.3,2.7,13,3.8415163058745456,False,True,10.65842613758266,13,17.709159380834848,421.859,in_progress,0.0,0
100,22.0,5.104575046325396,0.6684561817209148,10.286345498714889,12.2,2.7,5,3.926257523586099,False,True,11.546776865561647,14,17.709159380834848,421.926,in_progress,0.0,0
100,23.0,5.251389567975378,0.7077723674839762,12.754320090648713,7.2,2.0,12,4.886143506596613,False,True,12.37587985427648,15,17.709159380834848,421.991,in_progress,0.0,0
