episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration,obstacle_crash_counter
440,1.0,3.199892073639851,0.6831499642083626,0.1669088711353298,-0.9,3.0,4,0.0,False,True,0.7914516183749892,1,17.709159380834848,1262.663,prepare,0.0,0
440,2.0,3.199732793847781,0.6831032114197837,0.18326595495146542,3.9,2.4,1,0.001,False,True,0.7905513581379279,1,17.709159380834848,1262.728,in_progress,0.0,0
440,3.0,3.206690173210078,0.681259309774845,-0.3182782693123894,0.3,2.7,13,0.001,False,True,0.8298047509109585,1,17.709159380834848,1262.793,in_progress,0.0,0
440,4.0,3.226862365947484,0.6848638846118343,0.5762850829307059,-10.1,1.7,11,0.001,False,True,0.9437616234208672,1,17.709159380834848,1262.864,in_progress,0.0,0
440,5.0,3.2638720947195847,0.6819999768991699,-0.20935443409635435,0.5,3.5,2,3.8265099907756808,False,True,1.1527229804589545,1,17.709159380834848,1262.929,in_progress,0.0,0
440,6.0,3.312535845584412,0.6780060645936508,-1.115591009790768,0.3,2.7,13,0.001,False,True,1.4274823675263704,2,17.709159380834848,1262.999,in_progress,0.0,0
440,7.0,3.3792981164559173,0.6796599834835936,-0.498746683057346,12.2,2.7,5,0.001,False,True,1.8045159664464447,2,17.709159380834848,1263.058,in_progress,0.0,0
440,8.0,3.454183848858469,0.6880132400907928,1.5656424705655316,-10.1,1.7,11,0.001,False,True,2.2273923219275793,3,17.709159380834848,1263.125,in_progress,0.0,0
440,9.0,3.5491690182356166,0.696829740958636,2.8996015581200694,3.9,2.4,1,0.001,False,True,2.7637775086754472,3,17.709159380834848,1263.192,in_progress,0.0,0
440,10.0,3.6464000007586015,0.7007993373227245,2.7112316214827175,-11.4,3.5,9,4.595760125201812,False,True,3.3128297999067815,4,17.709159380834848,1263.264,in_progress,0.0,0
440,11.0,3.7571898071472325,0.7045402031977765,2.307271960971959,0.6,3.9,10,4.918733298959065,False,True,3.938442877727509,5,17.709159380834848,1263.331,in_progress,0.0,0
440,12.0,3.900843553177888,0.7051633989379387,1.305030050644722,-11.4,3.5,9,4.576390277385702,False,True,4.749624293399805,6,17.709159380834848,1263.403,in_progress,0.0,0
440,13.0,4.045568777951845,0.70329454051251,0.23421243038095435,-11.4,3.5,9,4.481478614679277,False,True,5.566854264353781,7,17.709159380834848,1263.459,in_progress,0.0,0
440,14.0,4.1619007514512125,0.6912499542448914,-2.495461919368682,0.6,3.9,10,3.3550964785092967,False,True,6.223733717342134,7,17.709159380834848,1263.529,in_progress,0.0,0
440,15.0,4.348064093709258,0.6703622356626691,-4.897993662986245,12.6,3.5,17,3.2978106865473977,False,True,7.274917795498598,9,17.709159380834848,1263.6,in_progress,0.0,0
440,16.0,4.539377515244113,0.6605724655769409,-3.552015756557103,-0.9,3.0,4,3.7794479084756296,False,True,8.355206120066397,10,17.709159380834848,1263.66,in_progress,0.0,0
440,17.0,4.71318954693505,0.6543333253974346,-2.717901419654653,16.3,1.7,8,0.001,False,True,9.336669672154406,11,17.709159380834848,1263.727,in_progress,0.0,0
440,18.0,4.893952574197079,0.6531673746313859,-1.4202415952398157,12.2,2.7,5,3.8928098405488627,False,True,10.357398171970761,12,17.709159380834848,1263.784,in_progress,0.0,0
440,19.0,5.051057074795544,0.6600370257805633,0.8231044696302301,0.5,3.5,2,2.927652201829501,False,True,11.244555097872478,13,17.709159380834848,1263.868,in_progress,0.0,0
440,20.0,5.278306234174053,0.6849450510973517,4.6930348555357755,-10.1,1.7,11,4.765495315586462,False,True,12.527833828872287,15,17.709159380834848,1263.938,in_progress,0.0,0
440,21.0,5.479680742086511,0.708202905616147,6.534035189961302,-10.8,2.5,7,3.862537523873411,False,True,13.665152120830001,16,17.709159380834848,1263.998,in_progress,0.0,0
440,22.0,5.65136533471074,0.7233942948300165,5.697170959447049,0.5,3.5,2,2.9661614356986634,False,True,14.634350204281882,17,17.709159380834848,1264.055,in_progress,0.0,0
440,23.0,5.834013784817646,0.7414185127256556,5.750987006937536,30.0,1.3,19,4.822367655453648,False,True,15.66430471732008,19,17.709159380834848,1264.125,in_progress,0.0,0
440,24.0,5.993641903061351,0.7643869049248916,6.80999869772309,0.3,2.7,13,2.908183359575388,False,True,16.5633622518488,20,17.709159380834848,1264.2,in_progress,0.0,0
440,25.0,6.19985084059151,0.7993982139555897,8.483952493271701,16.3,1.7,8,4.639628341657682,False,True,17.784790447726724,21,17.709159380834848,1264.267,in_progress,0.0,0
440,26.0,6.358297825609595,0.8353680029356543,10.88998633443271,-2.1,1.4,15,4.771776494941944,False,True,18.733953111056813,22,17.709159380834848,1264.332,in_progress,0.0,0
440,27.0,6.521986714592418,0.8745217491296289,12.27908145519066,7.3,1.5,3,4.660062926861307,False,True,19.846301751974774,23,17.709159380834848,1264.405,in_progress,0.0,0
440,28.0,6.658190099594505,0.9093122968552904,13.341548840219495,23.0,1.4,0,4.537920827388454,False,True,20.755087069389596,25,17.709159380834848,1264.471,in_progress,0.0,0
440,29.0,6.780626827638336,0.9499256918148644,15.653885754622843,7.3,1.5,3,4.320151738066635,False,True,21.518484452946847,25,17.709159380834848,1264.531,in_progress,0.0,0
440,30.0,6.890711473879477,0.9966151126209476,18.871433827166793,17.0,2.2,14,2.4421232057466105,False,True,22.222910892227205,26,17.709159380834848,1264.602,in_progress,0.0,0
440,31.0,7.003515876546531,1.0566999054669488,23.08433784616455,30.0,1.3,19,0.001,False,True,22.9533186753933,27,17.709159380834848,1264.67,in_progress,0.0,0
